Time (sec),AF Correction 1 (%),AF Learning 1 (%),AF Sens 1 Ratio (AFR),Accel Position (%),Baro Pressure (psi),Boost Extended (psi),CL Fuel Target (AFR),Calculated Load (g/rev),Comm Fuel Final (AFR),Coolant Temp (F),Dyn Adv Mult (DAM),Feedback Knock (°),Fine Knock Learn (°),Fuel Pressure (psi),Fuel Pressure Target (psi),Gear Position (Gear),Ignition Timing (°),Inj Duty Cycle (%),Intake Temp (F),Intake Temp Manifold (F),MAF Corr Final (g/s),MAF Volts (V),Oil Temp (F),RPM (RPM),Req Torque (Nm),TD Boost Error Ext (psi),TGV Map Ratio (mult),Throttle Pos (%),Wastegate Duty (%),"AP Info:[AP3-SUB-004 v1.7.4.2-21686][2020 USDM WRX MT COBB Custom Features Gen2][Reflash: Stage1+Redline 93 v400.ptm - Realtime: Stage1+Redline 93 v400.ptm]"
0.000,-12.50,-7.81,13.51,5.5,14.21,-4.95,14.70,0.80,14.70,190,1.000,0.00,0.00,1323,1447,0,-0.50,1.15,149,140,12.17,1.64,203,900,43.48,0.74,0.000,11.4,0.00,0
0.014,-12.50,-7.81,13.56,5.9,14.21,-4.49,14.70,0.83,14.70,190,1.000,0.00,0.00,1353,1447,0,-1.00,1.17,149,140,12.60,1.66,203,914,46.42,0.43,0.000,11.4,0.00,0
0.017,-12.50,-7.81,13.57,6.7,14.21,-4.21,14.70,0.83,14.70,190,1.000,0.00,0.00,1346,1447,0,-1.00,1.18,149,140,13.10,1.66,203,937,51.67,0.28,0.000,11.8,0.00,0
0.029,-13.28,-7.81,13.54,7.1,14.21,-3.97,14.75,0.84,14.76,190,1.000,0.00,0.00,1425,1513,0,-2.00,1.25,149,140,13.79,1.66,203,978,57.10,0.14,0.000,12.2,0.00,0
0.113,-14.06,-7.81,13.47,9.4,14.21,-3.71,14.75,0.84,14.76,190,1.000,0.00,0.00,1475,1513,0,-1.50,1.32,149,140,14.89,1.74,203,1039,81.86,0.71,0.000,14.2,0.00,0
0.198,-14.06,-7.81,13.52,9.8,14.21,-3.40,14.74,0.88,14.76,190,1.000,0.00,0.00,1473,1513,0,-2.00,1.36,149,140,16.17,1.82,203,1083,90.83,1.23,0.000,16.1,0.00,0
0.232,-14.06,-7.81,13.69,7.8,14.21,-3.03,14.74,0.94,14.76,190,1.000,0.00,0.00,1502,1593,0,-3.50,1.44,149,140,17.76,1.86,203,1127,67.72,0.00,0.000,14.2,0.00,0
0.297,-14.06,-7.81,13.90,3.9,14.21,-3.07,14.73,0.89,14.76,190,1.000,0.00,0.00,1572,1593,0,-3.50,1.49,149,140,17.82,1.76,203,1190,30.48,-2.40,0.000,11.8,0.00,0
0.381,-13.28,-7.81,14.07,3.5,14.21,-3.59,14.72,0.78,14.76,190,1.000,0.00,0.00,1581,1447,0,1.00,1.58,149,140,16.41,1.60,203,1258,27.30,-2.92,0.000,10.6,0.00,0
0.438,-13.28,-7.81,14.08,3.9,14.21,-4.21,14.74,0.70,14.76,190,1.000,0.00,0.00,1517,1340,0,4.00,1.38,149,140,15.51,1.64,203,1311,30.27,-2.17,0.000,11.0,0.00,0
